,0,1,2
101,CENTRO EDUCACIONAL 07 DE CEILÂNDIA,-15.8120579,-48.1184957
102,Escola Classe 05 de  Brazlândia,-15.7404768,-48.1702519
103,Escola Classe Ipê,-15.920651699999999,-47.988374199999996
104,Escola Classe 19 de Ceilândia,-15.808787299999999,-47.907199899999995
105,Escola Classe 09 de Brazlândia,-15.7404768,-48.1702519
106,CENTRO DE ENSINO FUNDAMENTAL 03 DE TAGUATINGA,-15.840233999999999,-48.049004
107,ESCOLA CLASSE 40 DE CEILÂNDIA,-15.832993,-48.1320124
108,ESCOLA CLASSE SÍTIO DAS ARAUCÁRIAS,-15.6978846,-47.7429919
109,CENTRO DE ENSINO FUNDAMENTAL 01 DO CRUZEIRO,-15.784847999999998,-47.9367205
110,ESCOLA CLASSE 303 DE SÃO SEBASTIÃO,-15.9035272,-47.7819396
111,ESCOLA CLASSE 803 DO RECANTO DAS EMAS,-15.923342,-48.054217799999996
112,Escola Classe INCRA 06,-15.768212799999999,-47.891628
113,CENTRO EDUCACIONAL 07 DO GAMA,-16.0202193,-48.065065499999996
114,ESCOLA CLASSE 09 DO GAMA,-16.0290106,-48.073826499999996
115,CENTRO EDUCACIONAL 11 DE CEILÂNDIA,-15.8228279,-48.125116899999995
116,Centro de Ensino Médio 02 de Ceilândia,,
117,ESCOLA CLASSE 02 DO ITAPOÃ,-15.7486833,-47.762908599999996
118,CENTRO DE ENSINO MÉDIO EIT,-15.8328805,-48.0585636
119,CENTRO DE ENSINO FUNDAMENTAL POLIVALENTE,-15.819545,-47.922876599999995
120,CENTRO DE ENSINO FUNDAMENTAL 410 NORTE,-15.7551598,-47.881409999999995
121,CENTRO DE ENSINO MÉDIO 01 DE SOBRADINHO,-15.686935,-48.1964543
122,CENTRO DE ENSINO FUNDAMENTAL 412 DE SAMAMBAIA,-15.8571852,-48.0751347
123,ESCOLA CLASSE PONTE ALTA DE CIMA,-16.0475274,-48.147044199999996
124,CENTRO DE EDUCAÇÃO INFANTIL 01 DE BRASÍLIA,-15.751893899999999,-47.87948
125,CENTRO EDUCACIONAL MYRIAM ERVILHA,-15.767990699999999,-47.8927933
126,Escola Classe 38 de Ceilândia,-15.832993,-48.1320124
127,CENTRO DE ENSINO FUNDAMENTAL 09 DE TAGUATINGA,-15.8426212,-48.0496805
128,ESCOLA CLASSE 317 DE SAMAMBAIA,-15.8908911,-48.111039
129,ESCOLA CLASSE 425 DE SAMAMBAIA,-15.793808599999998,-47.891028399999996
130,ESCOLA CLASSE 10 DE PLANALTINA,-15.6026472,-47.6537061
131,ESCOLA CLASSE 13 DE SOBRADINHO,-15.6405462,-47.824731799999995
132,ESCOLA CLASSE 08 DO GUARÁ,-15.8304514,-47.9271531
133,CENTRO DE ENSINO FUNDAMENTAL 01 DE BRASÍLIA,-15.812975199999999,-47.8975102
134,ESCOLA CLASSE 104 DE SÃO SEBASTIÃO,-15.8958642,-47.782615199999995
135,ESCOLA CLASSE 52 DE CEILÂNDIA,-15.832993,-48.1320124
136,ESCOLA CLASSE AGROVILA SÃO SEBASTIÃO,-15.910745299999999,-47.7587921
137,ESCOLA BILINGUE LIBRAS E PORTUGUÊS ESCRITO DE TAGUATINGA,-15.8021613,-48.0767978
138,CENTRO DE ENSINO FUNDAMENTAL 35 DE CEILÂNDIA,-15.818059,-48.112088799999995
139,ESCOLA CLASSE 15 DO GAMA,-15.7942287,-47.882165799999996
140,CENTRO DE ENSINO FUNDAMENTAL 01 DE PLANALTINA,-15.622448799999999,-47.6533216
141,CENTRO DE ENSINO FUNDAMENTAL GAN,-15.776306,-47.873476
142,CENTRO DE ENSINO FUNDAMENTAL 02 DE PLANALTINA,-15.6219284,-47.656856999999995
143,CENTRO DE ENSINO FUNDAMENTAL 120 DE SAMAMBAIA,-15.869552899999999,-48.059372499999995
144,CENTRO DE ENSINO FUNDAMENTAL NOVA BETÂNIA,-15.949872999999998,-47.7920915
145,CENTRO DE ENSINO FUNDAMENTAL 301 DO RECANTO DAS EMAS,-15.9099626,-48.084798799999994
146,Centro Educacional Stella dos Cherubins Guimarães Trois,-15.6306525,-47.659735399999995
147,CENTRO DE ENSINO FUNDAMENTAL 316 DE SANTA MARIA,-16.0114224,-47.9948822
148,CENTRO EDUCACIONAL SÃO BARTOLOMEU,-15.893950799999999,-47.7789317
149,CENTRO DE ENSINO MÉDIO 01 DO GAMA,-16.018587699999998,-48.0546052
150,ESCOLA CLASSE 22 DE CEILÂNDIA,-15.832967499999999,-48.103835499999995
151,ESCOLA CLASSE 01 DO ARAPOANGA,-15.833675699999999,-48.091914599999996
